Tombo,Registro,Autor,Título,Procedencia,Exemplar,Coleção,Edição,Ano,Volume,Editora,Categorias,aquisicao
,20628,"LOUREIRO, Alícia Maria Almeida",ENSINO DE MÚSICA NA ESCOLA FUNDAMENTAL,PNBE,1,Papirus Educação,7a.,2003,-,PAPIRUS,Música - Estudo e Ensino,T
,20629,"CARVALHO, Marlene",GUIA PRÁTICO DO ALFABETIZADOR,PNBE,1,Princípios,-,2010,-,ÁTICA,Alfabetização,T
,20630,"CASTANHEIRA, Maria Lúcia; MACIEL, Francisca Izabel P. e MARTINS, Raquel Márcia Fontes (orgs.)",ALFABETIZAÇÃO E LETRAMENTO NA SALA DE AULA,PNBE,1,Alfabetização e Letramento na sala de aula,2a.,2009,-,AUTÊNTICA,Alfabetização,T
,20631,"MORAIS, Artur Gomes de",ORTOGRAFIA: ENSINAR E APRENDER,PNBE,1,-,-,2010,-,ÁTICA,Língua Portuguesa - Esudo e Ensino,T
,20632,"FONSECA, Selva Guimarães",FAZER E ENSINAR HISTÓRIA: anos iniciais do ensino fundamental,PNBE,1,-,-,2009,-,DIMENSÃO,História - Estudo e Ensino,T
,20633,"BIZZOTTO, Maria Inês; AROEIRA, Maria Luísa e PORTO, Amélia",ALFABETIZAÇÃO LINGUÍSTICA: DA TEORIA À PRÁTICA,PNBE,1,-,-,201,-,DIMENSÃO,Alfabetização,T
,20634,"VIZENTIN, Caroline Rauch e FRANCO, Rosemary Carla",MEIO AMBIENTE,PNBE,1,-,-,2009,-,BASE EDITORIAL,Educação Ambiental,T
,20635,"LESSAN, Janine",GEOGRAFIA NO ENSINO FUNDAMENTAL I,PNBE,1,Formação Docente,-,2009,-,ARGUMENTO,Geografia - Estudo e Ensino,T
,20636,"LE BOULCH, Jean",EDUCAÇÃO PSICOMOTORA: a psicocinética na idade escolar,PNBE,1,-,2a.,1987,-,ARTMED,Educação Psicomotora,T
,20637,"STAREPRAVO, Ana Ruth",JOGANDO COM A MATEMÁTICA: números e operações,PNBE,1,-,-,2009,-,AYMARÁ,Matemática,T
,20638,"NUNES, Terezinha; CAMPOS, Tânia Maria Mendonça; MAGINA, Sandra e BRYANT, Peter",EDUCAÇÃO MATEMÁTICA: números e operações numéricas,PNBE,1,-,-,2009,-,CORTEZ,Matemática - Formação de Professores,T
,20639,"ARRABAL, José",HISTÓRIAS DO JAPÃO,PNBE,1,-,-,2004,-,PEIRÓPOLIS,Contos folclóricos japoneses,T
,20640,"HUXLEY, Aldous",ADMIRÁVEL MUNDO NOVO,PNBE,1,-,-,s/d,-,CÍRCULO DO LIVRO,Lit. Estrangeira - Ficção Científica,D
,20641,"CARRARO, Adelaide","ESTUDANTE, O ",PNBE,1,-,47a.,2001,-,GLOBAL,Lit. Brasileira - Adolescência,D
,20642,"ALAMY FILHO, João","CASO DOS IRMÃOS NAVES, O",PNBE,1,-,-,s/d,-,CÍRCULO DO LIVRO,Biografia,D
,20643,"SHAKESPEARE, William",ROMEU E JULIETA,PNBE,1,-,-,s/d,-,CÍRCULO DO LIVRO,Teatro,D
,20644,"VERÍSSIMO, Érico",CLARISSA,PNBE,1,-,24a.,1976,-,GLOBO,Lit. Brasileira - Clássico,D
,20645,"BREZINA, Thomas",QUEM É ESSA MENINA?,PNBE,1,Olho no Lance,-,2002,-,ÁTICA,Lit. Infantojuvenil - Aventura,D
,20646,"MACHADO DE ASSIS, Joaquim M.",MEMÓRIAS PÓSTUMAS DE BRÁS CUBAS e DOM CASMURRO,PNBE,1,Imortais da Literatura Universal,-,1971,-,ABRIL,Lit. Brasileira - Clássico,D
,20647,"KOUNO, Fumiyo",HIROSHIMA: A CIDADE DA CALMARIA,DOT,20,Graphic Novel,-,2010,-,JB,HQ - Mangá,T
,20648,"ARNOLD, Nick",DIGESTÃO NOJENTA,DOT,20,Saber Horrível,6a.,2006,-,MELHORAMENTOS,Lit. Infantojuvenil - Ciências,T
,20649,"ARNOLD, Nick","SANGUE, OSSOS E PEDACINHOS",DOT,20,Saber Horrível,12a.,2006,-,MELHORAMENTOS,Lit. Infantojuvenil - Ciências,T
,20650,"BOUER, Jairo","CORPO DOS GAROTOS, O",DOT,20,Bate-papo com,-,2006,-,PANDA BOOKS,Educação Sexual,T
,20651,"BOUER, Jairo",PRIMEIRA VEZ,DOT,20,Bate-papo com,-,2006,-,PANDA BOOKS,Educação Sexual,T
,20652,"VILELA, Bia","CHAPEUZINHO VERMELHO, O",DOT,20,Livros divertidos,2a.,2008,-,PAULINAS,Lit. Infantojuvenil (Braile),T
,20653,"LISBOA, Elizete",BENQUERER BEM AMAR,DOT,20,Fazendo a diferença - Série Roda-pião,-,2010,-,PAULINAS,Lit. Infantojuvenil (Braile),T
,20654,"COTES, Cláudia",DORINA VIU,DOT,20,Fazendo a diferença,2a.,2010,-,PAULINAS,Lit. Infantojuvenil - Biografia (Braile),T
,20655,"LISBOA, Elizete",QUE SERÁ QUE A BRUXA ESTÁ LAVANDOO?,DOT,20,Fazendo a diferença,3a.,2008,-,PAULINAS,Lit. Infantojuvenil (Braile),T
